Title,Critic_Score,Audience_Score
Nimona,93%,94%
Run Rabbit Run,36%,25%
Take Care of Maya,92%,95%
Leave No Trace,100%,79%
Extraction 2,79%,86%
You Hurt My Feelings,95%,64%
Indiana Jones and the Kingdom of the Crystal Skull,77%,53%
Guy Ritchie's The Covenant,84%,98%
Evil Dead Rise,83%,76%
BlackBerry,98%,93%
Dungeons & Dragons: Honor Among Thieves,90%,93%
The Machine,27%,87%
The Super Mario Bros. Movie,58%,95%
Knights of the Zodiac,23%,61%
Fast X,56%,85%
"Are You There God? It's Me, Margaret.",99%,95%
Extraction,67%,71%
Here. Is. Better.,100%,75%
John Wick: Chapter 4,94%,93%
Avatar: The Way of Water,76%,92%
Infinity Pool,87%,51%
Titanic,88%,69%
M3GAN,93%,78%
Raiders of the Lost Ark,93%,96%
