Title,Critic_Score,Audience_Score
Leave No Trace,100%,79%
Indiana Jones and the Kingdom of the Crystal Skull,77%,53%
You Hurt My Feelings,95%,64%
Guy Ritchie's The Covenant,84%,98%
Evil Dead Rise,83%,76%
Dungeons & Dragons: Honor Among Thieves,90%,93%
BlackBerry,98%,93%
"Are You There God? It's Me, Margaret.",99%,95%
The Super Mario Bros. Movie,58%,95%
The Machine,27%,87%
Knights of the Zodiac,23%,61%
Fast X,56%,85%
Here. Is. Better.,100%,75%
John Wick: Chapter 4,94%,93%
M3GAN,93%,78%
Infinity Pool,87%,51%
Avatar: The Way of Water,76%,92%
Nefarious,35%,96%
Spider-Man: Into the Spider-Verse,97%,94%
Titanic,88%,69%
Sisu,94%,88%
A Man Called Otto,69%,97%
Beau Is Afraid,67%,71%
Missing,87%,90%
65,35%,65%
Air,92%,98%
