Title,Critic_Score,Audience_Score
M3GAN,93%,78%
Cocaine Bear,67%,71%
Renfield,58%,79%
Puss in Boots: The Last Wish,95%,94%
Knock at the Cabin,67%,63%
Nope,83%,69%
Armageddon Time,75%,48%
Tár,90%,74%
Fifty Shades of Grey,24%,41%
Polite Society,91%,84%
Sick,87%,74%
John Wick,86%,81%
Champions,59%,95%
A Thousand and One,96%,85%
Book Club: The Next Chapter,48%,84%
Jaws,97%,90%
Ticket to Paradise,56%,87%
She Said,88%,91%
The Godfather,97%,98%
Mrs. Harris Goes to Paris,94%,93%
Fast & Furious,29%,67%
American Psycho,68%,85%
Last Shift,100%,51%
John Wick: Chapter 3 -- Parabellum,89%,86%
Inside,63%,40%
Sicario,92%,85%
Bridesmaids,89%,76%
